state,year,accuracy,selection_rate_1,selection_rate_2,selection_rate_3,selection_rate_4,selection_rate_5,selection_rate_6,selection_rate_7,selection_rate_8,selection_rate_9,true_pos_rate_1,true_pos_rate_2,true_pos_rate_3,true_pos_rate_4,true_pos_rate_5,true_pos_rate_6,true_pos_rate_7,true_pos_rate_8,true_pos_rate_9
AL,2018,0.7309143165079935,0.40374867381822466,0.4482130662417482,0.5168539325842697,1.0,0.5833333333333334,0.3104575163398693,0.6666666666666666,0.3140096618357488,0.436426116838488,0.7369756427604871,0.6802973977695167,0.8064516129032258,0.0,1.0,0.6632653061224489,0.5,0.5238095238095238,0.7307692307692307
AK,2018,0.6906373378454597,0.43133553563001414,0.5694444444444444,0.6451612903225806,0.4258064516129032,0.5,0.13930348258706468,0.5,0.42857142857142855,0.3898305084745763,0.6738072054527751,0.7083333333333334,0.75,0.5310344827586206,0.3333333333333333,0.36363636363636365,0.4,0.6,0.5647058823529412
AZ,2018,0.742074105237852,0.40588729383017713,0.4835164835164835,0.44387096774193546,0.4,0.39805825242718446,0.4167350287120591,0.38461538461538464,0.35812356979405036,0.42524271844660194,0.7370497249039759,0.6716867469879518,0.63671875,0.5,0.5,0.7168316831683168,0.3333333333333333,0.51985559566787,0.6142322097378277
AR,2018,0.7441309498169287,0.3601341473901453,0.4471658502449265,0.5569620253164557,,0.4666666666666667,0.3299492385786802,0.18181818181818182,0.2903225806451613,0.3835125448028674,0.7139444610331442,0.7285067873303167,0.7222222222222222,,0.5,0.7272727272727273,0.0,0.4444444444444444,0.5588235294117647
CA,2018,0.7399534919377507,0.405327008578087,0.4909430875306766,0.4598145285935085,0.6153846153846154,0.5222222222222223,0.4075025222415849,0.3940345368916798,0.3462027815557408,0.43699731903485256,0.7014911463187326,0.6655371060657405,0.6239782016348774,0.8,0.6666666666666666,0.6592861233059745,0.5789473684210527,0.48848238482384826,0.6028659160696008
CO,2018,0.7509423113780106,0.4553988908623002,0.51,0.4973821989528796,0.4,0.49230769230769234,0.4234326824254882,0.3611111111111111,0.35602094240837695,0.4450736126840317,0.7557775332261069,0.7365853658536585,0.6585365853658537,0.0,0.6666666666666666,0.7052154195011338,0.2727272727272727,0.4695121951219512,0.6267605633802817
CT,2018,0.7476876421531463,0.45968191100934463,0.4547787042976267,0.5135135135135135,,0.4666666666666667,0.48606465997770343,0.2,0.34195402298850575,0.4148681055155875,0.7199516324062878,0.5991189427312775,0.6666666666666666,,1.0,0.7780126849894292,0.0,0.5149253731343284,0.5916666666666667
DE,2018,0.7349883301506471,0.4014962593516209,0.4801587301587302,0.45,,0.6,0.5416666666666666,0.6666666666666666,0.3835616438356164,0.4050632911392405,0.6949832775919732,0.6592920353982301,1.0,,1.0,0.8987341772151899,1.0,0.5294117647058824,0.6
FL,2018,0.7323527925195855,0.41781228302720447,0.45724939299340966,0.5353535353535354,0.6,0.5357142857142857,0.38306589279617614,0.2972972972972973,0.38514996342355523,0.425756186984418,0.7418764302059496,0.6871278057718736,0.543859649122807,0.0,0.8333333333333334,0.6872727272727273,0.5555555555555556,0.5723981900452488,0.6
GA,2018,0.7286654227634293,0.4456026247786069,0.48572133980742327,0.5673076923076923,,0.696969696969697,0.43875685557586835,0.43902439024390244,0.3489795918367347,0.44319344933469806,0.7729975772703913,0.7031354236157439,0.782608695652174,,0.8,0.7494736842105263,0.7142857142857143,0.5769230769230769,0.6678571428571428
